0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.125303-0j -0.28397-0j 0-0j 0-0j 0.144687-0j 0.0835351-0j 0.0511546-0j -0.311073-0j -0.0253773-0j 0.259792-0j 0.1837-0j 0.198101-0j -0.331368-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0277995-0j 0-0j 0-0j -0.0179445-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0332267-0j 0.0525016-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.125303-0j -0.28397-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0253773-0j -0.0277995-0j -0.0179445-0j 0.144687-0j 0.0835351-0j 0-0j 0.0511546-0j -0.311073-0j 0-0j 0.259792-0j 0.1837-0j 0.198101-0j -0.331368-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0332267-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0525016-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.302955-0j -0.109699-0j -0.210684-0j 0.269002-0j -0.0578162-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0873591-0j -0.100141-0j -0.0578162-0j 0.565947-0j 0.127881-0j 0-0j 0.0976704-0j 0.0563901-0j -0.175279-0j 0.0617722-0j -0.107111-0j -0.0744879-0j 0.0178321-0j -0.00914155-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.122608-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.119621-0j 0.00168498-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.430853-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.000778696-0j 0.00354819-0j -0.000550621-0j -0.108341-0j -0.144006-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.459639-0j 0.123544-0j 0.0713284-0j 0.0756552-0j -0.00101955-0j 0-0j -0.125102-0j -0.0722276-0j -0.0442302-0j 0.656173-0j -0.13214-0j -0.093437-0j -0.0909349-0j -0.0568166-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0218398-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.15131-0j -0.0150269-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0756552-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.306774-0j 0.108341-0j 0.069934-0j -0.262346-0j -0.058536-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0873591-0j -0.0976704-0j -0.0563901-0j 0.185521-0j 0.129493-0j 0-0j 0.0976627-0j 0.0563856-0j 0.034529-0j -0.064123-0j 0.546406-0j -0.124562-0j -0.199539-0j -0.172113-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0172659-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.119621-0j -0.0701073-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.430853-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.069934-0j 0.233702-0j -0.0545168-0j 0.182443-0j -0.126267-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0617722-0j -0.210684-0j -0.121638-0j 0.0466252-0j -0.0915651-0j 0-0j -0.0690579-0j -0.0398706-0j -0.328612-0j 0.0453418-0j 0.124562-0j 0.0971019-0j 0.141095-0j -0.371263-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.415335-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0845851-0j 0.0495733-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0422925-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.270421-0j -0.144006-0j 0.191217-0j 0.058536-0j -0.313718-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.119803-0j 0.0651136-0j -0.192259-0j 0.0398738-0j -0.17212-0j 0-0j 0.0675916-0j -0.199576-0j 0.0238972-0j 0.167062-0j 0.0212469-0j 0.0150238-0j 0.354044-0j -0.286852-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0115106-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0797476-0j -0.219519-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0398738-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.120627-0j -0.135482-0j -0.260202-0j 0.180613-0j 0.0217842-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0356642-0j 0.0408822-0j 0.0236034-0j 0.0744879-0j 0.157937-0j 0-0j -0.203409-0j -0.117438-0j 0.365036-0j -0.0232748-0j 0.21719-0j -0.468497-0j 0.139201-0j 0.146123-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0500544-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0488352-0j -0.455541-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0244176-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.00146228-0j -0.00079839-0j 0.00315426-0j -0.101403-0j 0.277261-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.207506-0j 0.115632-0j -0.341424-0j 0.210684-0j 0.00093072-0j 0-0j 0-0j 0.114202-0j -0.3372-0j -0.204946-0j 0.144006-0j 0-0j 0.120627-0j -0.260202-0j -0.170762-0j -0.053178-0j 0-0j 0-0j -0.138127-0j 0-0j -0.0690634-0j 0.141575-0j 0-0j 0.0137176-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.144006-0j 0-0j 0-0j 0-0j -0.000778696-0j 0.00354819-0j -0.000550621-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.108341-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.123544-0j -0.125102-0j -0.0722276-0j 0.0713284-0j 0.0756552-0j -0.0442302-0j -0.00101955-0j -0.0568166-0j 0.656173-0j -0.13214-0j -0.093437-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0909349-0j 0-0j 0-0j 0-0j 0-0j -0.459639-0j 0-0j 0-0j 0-0j 0-0j 0.0218398-0j -0.0150269-0j 0-0j 0.15131-0j 0-0j 0-0j 0.0756552-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.058536-0j 0-0j 0-0j 0-0j -0.306774-0j 0.108341-0j 0.069934-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.262346-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0976704-0j 0.0976627-0j 0.0563856-0j -0.0563901-0j 0.185521-0j 0.034529-0j 0.129493-0j -0.172113-0j -0.064123-0j 0.546406-0j -0.124562-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.199539-0j 0-0j 0-0j 0-0j 0-0j -0.0873591-0j 0-0j 0-0j 0-0j 0-0j -0.0172659-0j -0.0701073-0j 0-0j -0.119621-0j 0-0j 0-0j 0.430853-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.126267-0j 0-0j 0-0j 0-0j -0.069934-0j 0.233702-0j -0.0545168-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.182443-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.210684-0j -0.0690579-0j -0.0398706-0j -0.121638-0j 0.0466252-0j -0.328612-0j -0.0915651-0j -0.371263-0j 0.0453418-0j 0.124562-0j 0.0971019-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.141095-0j 0-0j 0-0j 0-0j 0-0j 0.0617722-0j 0-0j 0-0j 0-0j 0-0j 0.415335-0j 0.0495733-0j 0-0j 0.0845851-0j 0-0j 0-0j 0.0422925-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0578162-0j 0-0j 0-0j 0-0j -0.302955-0j -0.109699-0j -0.210684-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.269002-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.100141-0j 0.0976704-0j 0.0563901-0j -0.0578162-0j 0.565947-0j -0.175279-0j 0.127881-0j -0.00914155-0j 0.0617722-0j -0.107111-0j -0.0744879-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0178321-0j 0-0j 0-0j 0-0j 0-0j 0.0873591-0j 0-0j 0-0j 0-0j 0-0j -0.122608-0j 0.00168498-0j 0-0j 0.119621-0j 0-0j 0-0j -0.430853-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.313718-0j 0-0j 0-0j 0-0j 0.270421-0j -0.144006-0j 0.191217-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.058536-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0651136-0j 0.0675916-0j -0.199576-0j -0.192259-0j 0.0398738-0j 0.0238972-0j -0.17212-0j -0.286852-0j 0.167062-0j 0.0212469-0j 0.0150238-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.354044-0j 0-0j 0-0j 0-0j 0-0j -0.119803-0j 0-0j 0-0j 0-0j 0-0j 0.0115106-0j -0.219519-0j 0-0j 0.0797476-0j 0-0j 0-0j 0.0398738-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.11278-0j -0.123544-0j -0.0797476-0j -0.0976704-0j -0.0651136-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.100874-0j 0.589898-0j -0.0651136-0j -0.0690634-0j -0.147664-0j 0-0j 0.589898-0j -0.0651136-0j -0.0398738-0j -0.0713284-0j -0.0398738-0j -0.028195-0j -0.0205907-0j -0.0102954-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0199369-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.138127-0j -0.00194564-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0690634-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.333002-0j 0.0713284-0j -0.235468-0j 0.0563901-0j -0.192259-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.297846-0j 0.0651136-0j 0.280567-0j 0.0398738-0j 0.0852537-0j 0-0j 0.0651136-0j 0.280567-0j 0.0230211-0j 0.0411815-0j 0.0230211-0j 0.0162784-0j -0.0607976-0j 0.00594403-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0115106-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0797476-0j 0.00112332-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0398738-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0217842-0j 0-0j 0-0j 0-0j 0.120627-0j -0.135482-0j -0.260202-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.180613-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0408822-0j -0.203409-0j -0.117438-0j 0.0236034-0j 0.0744879-0j 0.365036-0j 0.157937-0j 0.146123-0j -0.0232748-0j 0.21719-0j -0.468497-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.139201-0j 0-0j 0-0j 0-0j 0-0j -0.0356642-0j 0-0j 0-0j 0-0j 0-0j 0.0500544-0j -0.455541-0j 0-0j -0.0488352-0j 0-0j 0-0j -0.0244176-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0398738-0j 0.221712-0j -0.379479-0j 0.175279-0j 0.116852-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0356642-0j 0.202394-0j 0.116852-0j -0.328639-0j -0.052207-0j 0-0j -0.0398738-0j -0.0230211-0j -0.09531-0j -0.0252184-0j -0.0140975-0j -0.134166-0j -0.00727992-0j 0.018476-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.528762-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0488352-0j -0.000687888-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0244176-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0518662-0j -0.0568166-0j -0.0366749-0j 0.172113-0j -0.286852-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.00920846-0j 0.0102954-0j 0.00594403-0j 0.0063046-0j -0.0679088-0j 0-0j 0.198739-0j 0.114742-0j 0.0702649-0j -0.31423-0j 0.142518-0j 0.100776-0j 0.290605-0j -0.186066-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.00181998-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0126092-0j -0.155491-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0063046-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
